ensembl_gene_id	external_gene_name	external_gene_name.1	description	biotype
ENSG00000168994	PXDC1	PXDC1	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	Gene
ENSG00000169016	E2F6	E2F6	E2F transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3120]	TF
ENSG00000169019	COMMD8	COMMD8	COMM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26036]	Gene
ENSG00000169021	UQCRFS1	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	Gene
ENSG00000169032	MAP2K1	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	Gene
ENSG00000169057	MECP2	MECP2	methyl-CpG binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6990]	Gene
ENSG00000169083	AR	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	TF
ENSG00000169093	ASMTL	ASMTL	acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751]	Gene
ENSG00000169139	UBE2V2	UBE2V2	ubiquitin conjugating enzyme E2 V2 [Source:HGNC Symbol;Acc:HGNC:12495]	Gene
ENSG00000169174	PCSK9	PCSK9	proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]	Gene
ENSG00000169189	NSMCE1	NSMCE1	NSE1 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:29897]	Gene
ENSG00000169194	IL13	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	Gene
ENSG00000169217	CD2BP2	CD2BP2	CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]	Gene
ENSG00000169218	RSPO1	RSPO1	R-spondin 1 [Source:HGNC Symbol;Acc:HGNC:21679]	Gene
ENSG00000169230	PRELID1	PRELID1	PRELI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30255]	Gene
ENSG00000169231	THBS3	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	Gene
ENSG00000169241	SLC50A1	SLC50A1	solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]	Gene
ENSG00000169242	EFNA1	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	Gene
ENSG00000169252	ADRB2	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	Gene
ENSG00000169282	KCNAB1	KCNAB1	potassium voltage-gated channel subfamily A regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6228]	Gene
ENSG00000169347	GP2	GP2	glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:4441]	Gene
ENSG00000169372	CRADD	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain [Source:HGNC Symbol;Acc:HGNC:2340]	Gene
ENSG00000169375	SIN3A	SIN3A	SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353]	Gene
ENSG00000169403	PTAFR	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	Gene
ENSG00000169418	NPR1	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	Gene
ENSG00000169429	CXCL8	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	Gene
ENSG00000169564	PCBP1	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	Gene
ENSG00000169567	HINT1	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	Gene
ENSG00000169575	VPREB1	VPREB1	V-set pre-B cell surrogate light chain 1 [Source:HGNC Symbol;Acc:HGNC:12709]	Gene
ENSG00000169592	INO80E	INO80E	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	Gene
ENSG00000169598	DFFB	DFFB	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	Gene
ENSG00000169621	APLF	APLF	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]	Gene
ENSG00000169679	BUB1	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	Gene
ENSG00000169689	CENPX	CENPX	centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]	Gene
ENSG00000169704	GP9	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	Gene
ENSG00000169714	CNBP	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	Gene
ENSG00000169727	GPS1	GPS1	G protein pathway suppressor 1 [Source:HGNC Symbol;Acc:HGNC:4549]	Gene
ENSG00000169756	LIMS1	LIMS1	LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]	Gene
ENSG00000169764	UGP2	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	Gene
ENSG00000169783	LINGO1	LINGO1	leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205]	Gene
ENSG00000169836	TACR3	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]	Gene
ENSG00000169871	TRIM56	TRIM56	tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]	Gene
ENSG00000169877	AHSP	AHSP	alpha hemoglobin stabilizing protein [Source:HGNC Symbol;Acc:HGNC:18075]	Gene
ENSG00000169891	REPS2	REPS2	RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]	Gene
ENSG00000169925	BRD3	BRD3	bromodomain containing 3 [Source:HGNC Symbol;Acc:HGNC:1104]	Gene
ENSG00000169962	TAS1R3	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	Gene
ENSG00000169976	SF3B5	SF3B5	splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]	Gene
ENSG00000170004	CHD3	CHD3	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	Gene
ENSG00000170017	ALCAM	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	Gene
ENSG00000170027	YWHAG	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	Gene
ENSG00000170035	UBE2E3	UBE2E3	ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]	Gene
ENSG00000170043	TRAPPC1	TRAPPC1	trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894]	Gene
ENSG00000170144	HNRNPA3	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	Gene
ENSG00000170266	GLB1	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	Gene
ENSG00000170270	GON7	GON7	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	Gene
ENSG00000170275	CRTAP	CRTAP	cartilage associated protein [Source:HGNC Symbol;Acc:HGNC:2379]	Gene
ENSG00000170291	ELP5	ELP5	elongator acetyltransferase complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:30617]	Gene
ENSG00000170310	STX8	STX8	syntaxin 8 [Source:HGNC Symbol;Acc:HGNC:11443]	Gene
ENSG00000170312	CDK1	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	Gene
ENSG00000170322	NFRKB	NFRKB	nuclear factor related to kappaB binding protein [Source:HGNC Symbol;Acc:HGNC:7802]	Gene
ENSG00000170340	B3GNT2	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	Gene
ENSG00000170345	FOS	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	TF
ENSG00000170348	TMED10	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	Gene
ENSG00000170364	SETMAR	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	Gene
ENSG00000170365	SMAD1	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	TF
ENSG00000170381	SEMA3E	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	Gene
ENSG00000170471	RALGAPB	RALGAPB	Ral GTPase activating protein non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:29221]	Gene
ENSG00000170473	PYM1	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	Gene
ENSG00000170498	KISS1	KISS1	KiSS-1 metastasis suppressor [Source:HGNC Symbol;Acc:HGNC:6341]	Gene
ENSG00000170525	PFKFB3	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	Gene
ENSG00000170577	SIX2	SIX2	SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]	TF
ENSG00000170579	DLGAP1	DLGAP1	DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]	Gene
ENSG00000170581	STAT2	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	TF
ENSG00000170584	NUDCD2	NUDCD2	NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]	Gene
ENSG00000170604	IRF2BP1	IRF2BP1	interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21728]	Gene
ENSG00000170619	COMMD5	COMMD5	COMM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17902]	Gene
ENSG00000170624	SGCD	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	Gene
ENSG00000170653	ATF7	ATF7	activating transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:792]	TF
ENSG00000170677	SOCS6	SOCS6	suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]	Gene
ENSG00000170734	POLH	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	Gene
ENSG00000170759	KIF5B	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	Gene
ENSG00000170775	GPR37	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	Gene
ENSG00000170788	DYDC1	DYDC1	DPY30 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23460]	Gene
ENSG00000170819	BFSP2	BFSP2	beaded filament structural protein 2 [Source:HGNC Symbol;Acc:HGNC:1041]	Gene
ENSG00000170820	FSHR	FSHR	follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]	Gene
ENSG00000170855	TRIAP1	TRIAP1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	Gene
ENSG00000170860	LSM3	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	Gene
ENSG00000170889	RPS9	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	Gene
ENSG00000170892	TSEN34	TSEN34	tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]	Gene
ENSG00000170893	TRH	TRH	thyrotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:12298]	Gene
ENSG00000170909	OSCAR	OSCAR	osteoclast associated Ig-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	Gene
ENSG00000170955	CAVIN3	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	Gene
ENSG00000170961	HAS2	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	Gene
ENSG00000170967	DDI1	DDI1	DNA damage inducible 1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18961]	Gene
ENSG00000171016	PYGO1	PYGO1	pygopus family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30256]	Gene
ENSG00000171051	FPR1	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	Gene
ENSG00000171105	INSR	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	Gene
ENSG00000171109	MFN1	MFN1	mitofusin 1 [Source:HGNC Symbol;Acc:HGNC:18262]	Gene
ENSG00000171132	PRKCE	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	Gene
ENSG00000171136	RLN3	RLN3	relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135]	Gene
ENSG00000171148	TADA3	TADA3	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	Gene
ENSG00000171155	C1GALT1C1	C1GALT1C1	C1GALT1 specific chaperone 1 [Source:HGNC Symbol;Acc:HGNC:24338]	Gene
ENSG00000171159	BBLN	BBLN	bublin coiled coil protein [Source:HGNC Symbol;Acc:HGNC:17823]	Gene
ENSG00000171199	OPRPN	OPRPN	opiorphin prepropeptide [Source:HGNC Symbol;Acc:HGNC:17279]	Gene
ENSG00000171223	JUNB	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	TF
ENSG00000171224	FAM241B	FAM241B	family with sequence similarity 241 member B [Source:HGNC Symbol;Acc:HGNC:23519]	Gene
ENSG00000171236	LRG1	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	Gene
ENSG00000171241	SHCBP1	SHCBP1	SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547]	Gene
ENSG00000171246	NPTX1	NPTX1	neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952]	Gene
ENSG00000171262	FAM98B	FAM98B	family with sequence similarity 98 member B [Source:HGNC Symbol;Acc:HGNC:26773]	Gene
ENSG00000171311	EXOSC1	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	Gene
ENSG00000171314	PGAM1	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	Gene
ENSG00000171388	APLN	APLN	apelin [Source:HGNC Symbol;Acc:HGNC:16665]	Gene
ENSG00000171444	MCC	MCC	MCC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:6935]	Gene
ENSG00000171453	POLR1C	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	Gene
ENSG00000171509	RXFP1	RXFP1	relaxin family peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:19718]	Gene
ENSG00000171522	PTGER4	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	Gene
ENSG00000171552	BCL2L1	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	Gene
ENSG00000171557	FGG	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	Gene
ENSG00000171560	FGA	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	Gene
ENSG00000171564	FGB	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	Gene
ENSG00000171566	PLRG1	PLRG1	pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]	Gene
ENSG00000171596	NMUR1	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	Gene
ENSG00000171634	BPTF	BPTF	bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]	Gene
ENSG00000171681	ATF7IP	ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]	Gene
ENSG00000171700	RGS19	RGS19	regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]	Gene
ENSG00000171723	GPHN	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	Gene
ENSG00000171791	BCL2	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	Gene
ENSG00000171824	EXOSC10	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	Gene
ENSG00000171847	FAM90A1	FAM90A1	family with sequence similarity 90 member A1 [Source:HGNC Symbol;Acc:HGNC:25526]	Gene
ENSG00000171848	RRM2	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	Gene
ENSG00000171853	TRAPPC12	TRAPPC12	trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]	Gene
ENSG00000171855	IFNB1	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	Gene
ENSG00000171863	RPS7	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	Gene
ENSG00000171940	ZNF217	ZNF217	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	TF
ENSG00000172053	QARS1	QARS1	glutaminyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9751]	Gene
ENSG00000172116	CD8B	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	Gene
ENSG00000172156	CCL11	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	Gene
ENSG00000172171	TEFM	TEFM	transcription elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26223]	Gene
ENSG00000172175	MALT1	MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	Gene
ENSG00000172215	CXCR6	CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	Gene
ENSG00000172260	NEGR1	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	Gene
ENSG00000172262	ZNF131	ZNF131	zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]	TF
ENSG00000172296	SPTLC3	SPTLC3	serine palmitoyltransferase long chain base subunit 3 [Source:HGNC Symbol;Acc:HGNC:16253]	Gene
ENSG00000172315	TP53RK	TP53RK	TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]	Gene
ENSG00000172336	POP7	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	Gene
ENSG00000172340	SUCLG2	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	Gene
ENSG00000172350	ABCG4	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	Gene
ENSG00000172399	MYOZ2	MYOZ2	myozenin 2 [Source:HGNC Symbol;Acc:HGNC:1330]	Gene
ENSG00000172409	CLP1	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	Gene
ENSG00000172465	TCEAL1	TCEAL1	transcription elongation factor A like 1 [Source:HGNC Symbol;Acc:HGNC:11616]	Gene
ENSG00000172468	HSFY1	HSFY1	heat shock transcription factor Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:18568]	Gene
ENSG00000172500	FIBP	FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	Gene
ENSG00000172531	PPP1CA	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	Gene
ENSG00000172534	HCFC1	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	Gene
ENSG00000172548	NIPAL4	NIPAL4	NIPA like domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28018]	Gene
ENSG00000172554	SNTG2	SNTG2	syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]	Gene
ENSG00000172572	PDE3A	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	Gene
ENSG00000172602	RND1	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	Gene
ENSG00000172613	RAD9A	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	Gene
ENSG00000172638	EFEMP2	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	Gene
ENSG00000172732	MUS81	MUS81	MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]	Gene
ENSG00000172765	TMCC1	TMCC1	transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]	Gene
ENSG00000172766	NAA16	NAA16	N-alpha-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]	Gene
ENSG00000172775	PSME3IP1	PSME3IP1	proteasome activator subunit 3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29856]	Gene
ENSG00000172795	DCP2	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	Gene
ENSG00000172803	SNX32	SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	Gene
ENSG00000172819	RARG	RARG	retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]	TF
ENSG00000172830	SSH3	SSH3	slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]	Gene
ENSG00000172869	DMXL1	DMXL1	Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]	Gene
ENSG00000172936	MYD88	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	Gene
ENSG00000172977	KAT5	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	Gene
ENSG00000173011	TADA2B	TADA2B	transcriptional adaptor 2B [Source:HGNC Symbol;Acc:HGNC:30781]	Gene
ENSG00000173020	GRK2	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	Gene
ENSG00000173039	RELA	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	TF
ENSG00000173065	FAM222B	FAM222B	family with sequence similarity 222 member B [Source:HGNC Symbol;Acc:HGNC:25563]	Gene
ENSG00000173068	BNC2	BNC2	basonuclin 2 [Source:HGNC Symbol;Acc:HGNC:30988]	Gene
ENSG00000173080	RXFP4	RXFP4	relaxin family peptide/INSL5 receptor 4 [Source:HGNC Symbol;Acc:HGNC:14666]	Gene
ENSG00000173120	KDM2A	KDM2A	lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]	Gene
ENSG00000173163	COMMD1	COMMD1	copper metabolism domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23024]	Gene
ENSG00000173171	MTX1	MTX1	metaxin 1 [Source:HGNC Symbol;Acc:HGNC:7504]	Gene
ENSG00000173198	CYSLTR1	CYSLTR1	cysteinyl leukotriene receptor 1 [Source:HGNC Symbol;Acc:HGNC:17451]	Gene
ENSG00000173207	CKS1B	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	Gene
ENSG00000173226	IQCB1	IQCB1	IQ motif containing B1 [Source:HGNC Symbol;Acc:HGNC:28949]	Gene
ENSG00000173230	GOLGB1	GOLGB1	golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]	Gene
ENSG00000173250	GPR151	GPR151	G protein-coupled receptor 151 [Source:HGNC Symbol;Acc:HGNC:23624]	Gene
ENSG00000173262	SLC2A14	SLC2A14	solute carrier family 2 member 14 [Source:HGNC Symbol;Acc:HGNC:18301]	Gene
ENSG00000173273	TNKS	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	Gene
ENSG00000173320	STOX2	STOX2	storkhead box 2 [Source:HGNC Symbol;Acc:HGNC:25450]	TF
ENSG00000173334	TRIB1	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	Gene
ENSG00000173369	C1QB	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	Gene
ENSG00000173372	C1QA	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	Gene
ENSG00000173402	DAG1	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	Gene
ENSG00000173465	ZNRD2	ZNRD2	zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]	Gene
ENSG00000173473	SMARCC1	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	Gene
ENSG00000173531	MST1	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	Gene
ENSG00000173540	GMPPB	GMPPB	GDP-mannose pyrophosphorylase B [Source:HGNC Symbol;Acc:HGNC:22932]	Gene
ENSG00000173542	MOB1B	MOB1B	MOB kinase activator 1B [Source:HGNC Symbol;Acc:HGNC:29801]	Gene
ENSG00000173578	XCR1	XCR1	X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1625]	Gene
ENSG00000173585	CCR9	CCR9	C-C motif chemokine receptor 9 [Source:HGNC Symbol;Acc:HGNC:1610]	Gene
ENSG00000173641	HSPB7	HSPB7	heat shock protein family B (small) member 7 [Source:HGNC Symbol;Acc:HGNC:5249]	Gene
ENSG00000173662	TAS1R1	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	Gene
ENSG00000173692	PSMD1	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	Gene
ENSG00000173757	STAT5B	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	TF
ENSG00000173801	JUP	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	Gene
ENSG00000173805	HAP1	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	Gene
ENSG00000173889	PHC3	PHC3	polyhomeotic homolog 3 [Source:HGNC Symbol;Acc:HGNC:15682]	Gene
ENSG00000173894	CBX2	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	Gene
ENSG00000173960	UBXN2A	UBXN2A	UBX domain protein 2A [Source:HGNC Symbol;Acc:HGNC:27265]	Gene
ENSG00000173991	TCAP	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	Gene
ENSG00000173992	CCS	CCS	copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:HGNC:1613]	Gene
ENSG00000174059	CD34	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	Gene
ENSG00000174106	LEMD3	LEMD3	LEM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28887]	Gene
ENSG00000174125	TLR1	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	Gene
ENSG00000174130	TLR6	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	Gene
ENSG00000174156	GSTA3	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	Gene
ENSG00000174177	CTU2	CTU2	cytosolic thiouridylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:28005]	Gene
